estimator,feature_engineer,loss,accuracy,cost_time,best_iterations,budget
tabular_nn,generate.autofeat,0.177101,0.8228988206083179,12.9019,"[0, 2, 23, 4, 0]",1
extra_trees,generate.autofeat,0.179255,0.8207448789571694,29.4071,"[96, 64, 32, 80, 112]",1
extra_trees,generate.autofeat,0.180391,0.819608938547486,16.1802,"[128, 16, 128, 176, 128]",1
tabular_nn,generate.autofeat,0.181508,0.8184916201117319,13.4668,"[74, 49, 43, 66, 42]",1
extra_trees,select.boruta,0.181521,0.8184792054624458,11.466,"[48, 64, 128, 48, 176]",1
extra_trees,generate.autofeat,0.183731,0.8162693978895097,7.49314,"[16, 16, 16, 16, 16]",1
random_forest,select.boruta,0.183731,0.8162693978895096,7.57276,"[16, 32, 16, 16, 80]",1
extra_trees,operate.keep_going,0.185934,0.8140657976412168,23.3054,"[16, 96, 128, 112, 48]",1
logistic_regression,select.boruta,0.188194,0.811806331471136,7.83397,"[16, 16, 16, 32, 16]",1
extra_trees,select.boruta,0.188194,0.811806331471136,13.2108,"[32, 112, 128, 144, 16]",1
logistic_regression,select.boruta,0.189274,0.8107262569832404,5.73234,"[16, 16, 16, 16, 16]",1
random_forest,operate.keep_going,0.189317,0.8106828057107387,13.12,"[112, 128, 272, 16, 176]",1
tabular_nn,operate.keep_going,0.190366,0.8096337678460583,9.02876,"[70, 74, 66, 64, 55]",1
logistic_regression,operate.keep_going,0.190422,0.8095779019242707,8.01322,"[32, 16, 16, 64, 16]",1
tabular_nn,generate.autofeat,0.191608,0.8083923029174425,34.3277,"[64, 67, 68, 65, 39]",1
logistic_regression,operate.keep_going,0.192632,0.8073680943513347,3.85591,"[32, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.194848,0.8051520794537554,21.8085,"[48, 16, 48, 48, 16]",1
tabular_nn,select.boruta,0.19599,0.804009931719429,4.80126,"[33, 16, 8, 15, 22]",1
extra_trees,generate.autofeat,0.1982,0.8018001241464929,22.7846,"[112, 48, 96, 96, 64]",1
extra_trees,generate.autofeat,0.198212,0.8017877094972068,10.7019,"[16, 16, 16, 16, 16]",1
random_forest,select.boruta,0.19933,0.8006703910614525,33.7386,"[176, 64, 32, 80, 144]",1
random_forest,operate.keep_going,0.200422,0.7995779019242706,11.4935,"[144, 64, 48, 48, 16]",1
extra_trees,select.boruta,0.200435,0.7995654872749844,15.3722,"[144, 208, 144, 96, 80]",1
extra_trees,generate.autofeat,0.20712,0.7928801986343885,8.21387,"[48, 48, 16, 64, 32]",1
tabular_nn,select.boruta,0.207138,0.7928615766604594,31.2962,"[65, 59, 112, 105, 31]",1
tabular_nn,select.boruta,0.20825,0.7917504655493482,10.0709,"[46, 33, 23, 25, 106]",1
extra_trees,operate.keep_going,0.209336,0.7906641837368095,23.6578,"[96, 64, 176, 48, 64]",1
extra_trees,select.boruta,0.209361,0.7906393544382372,17.8112,"[128, 208, 32, 208, 80]",1
tabular_nn,select.boruta,0.21604,0.7839602731222843,23.2646,"[26, 51, 35, 43, 50]",1
extra_trees,select.boruta,0.21604,0.7839602731222843,13.3644,"[96, 64, 96, 128, 80]",1
extra_trees,operate.keep_going,0.217157,0.7828429546865301,7.62545,"[16, 96, 64, 64, 16]",1
extra_trees,operate.keep_going,0.218274,0.781725636250776,7.08802,"[32, 48, 32, 16, 32]",1
extra_trees,operate.keep_going,0.219404,0.7805959031657356,7.28679,"[16, 48, 64, 16, 16]",1
logistic_regression,generate.autofeat,0.220503,0.7794972067039107,26.7075,"[16, 16, 16, 16, 16]",1
extra_trees,generate.autofeat,0.221608,0.7783923029174427,27.7494,"[32, 32, 144, 32, 32]",1
tabular_nn,operate.keep_going,0.222682,0.7773184357541899,3.17267,"[30, 46, 40, 42, 34]",1
extra_trees,generate.autofeat,0.228281,0.7717194289261327,28.9054,"[48, 16, 48, 48, 16]",1
extra_trees,operate.keep_going,0.228299,0.7717008069522037,24.9689,"[16, 32, 16, 16, 16]",1
extra_trees,select.boruta,0.230521,0.7694785847299814,24.5213,"[16, 16, 112, 16, 16]",1
extra_trees,generate.autofeat,0.230528,0.7694723774053382,27.0762,"[16, 16, 48, 16, 16]",1
extra_trees,select.boruta,0.23162,0.7683798882681565,34.0622,"[16, 16, 16, 16, 32]",1
tabular_nn,generate.autofeat,0.23162,0.7683798882681564,16.7008,"[0, 6, 6, 4, 8]",1
extra_trees,select.boruta,0.232737,0.7672625698324023,25.577,"[16, 16, 16, 16, 16]",1
extra_trees,select.boruta,0.233855,0.766145251396648,6.92867,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.233861,0.766139044072005,19.6571,"[16, 16, 32, 16, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,8.82841,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,6.31724,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,25.1576,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,7.22561,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.50163,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,7.89676,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.54191,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.29166,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,19.0725,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.1004,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.15351,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,4.22966,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,19.3568,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,4.44132,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,6.33395,"[80, 16, 16, 48, 16]",1
logistic_regression,operate.keep_going,0.234947,0.7650527622594662,25.8843,"[80, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.234947,0.7650527622594662,16.5461,"[80, 16, 16, 48, 16]",1
extra_trees,operate.keep_going,0.234953,0.7650465549348231,8.02631,"[16, 16, 16, 16, 192]",1
tabular_nn,generate.autofeat,0.236046,0.7639540657976412,25.1449,"[56, 69, 15, 76, 28]",1
logistic_regression,operate.keep_going,0.236058,0.763941651148355,5.41368,"[16, 16, 16, 48, 16]",1
logistic_regression,select.boruta,0.236065,0.7639354438237119,4.87577,"[80, 16, 16, 48, 80]",1
tabular_nn,generate.autofeat,0.236071,0.7639292364990689,9.30554,"[0, 0, 0, 26, 0]",1
tabular_nn,generate.autofeat,0.236083,0.7639168218497827,8.50224,"[1, 2, 2, 17, 4]",1
tabular_nn,select.boruta,0.236083,0.7639168218497827,20.6886,"[0, 0, 0, 0, 0]",1
